,0,1,2,3,4,5,6
168,1015383,346.375,-3.6875,-9.625,-0.26,0.06,3.41
169,1025042,346.375,-3.75,-10.25,-0.26,0.06,3.41
170,1035276,346.375,-3.8125,-10.9375,0.41,0.28,3.65
171,1043090,346.4375,-3.9375,-11.5625,0.26,0.07,3.63
172,1053147,346.5,-4,-12.1875,-0.21,0.21,2.99
173,1065033,346.5,-4.0625,-12.8125,-0.22,0.07,3.46
174,1075117,346.5625,-4.1875,-13.375,0.07,0.16,3.18
175,1085275,346.5625,-4.25,-14,0.32,0.39,3.33
176,1093168,346.625,-4.3125,-14.5625,-0.11,0.03,2.91
177,1107726,346.625,-4.375,-15.1875,-0.54,0.31,3.77
178,1116143,346.6875,-4.4375,-15.75,0.24,0.17,3.3
179,1126004,346.6875,-4.4375,-16.3125,-1.78,-3.91,7.68
180,1136252,346.75,-4.6875,-16.4375,-4.32,4.06,12.19
181,1145077,346.9375,-5,-15.3125,-4.32,4.06,12.19
182,1155318,347.125,-5.25,-12.5625,3.69,11.77,9.32
183,1166051,347.125,-4.9375,-9.75,7.02,-0.74,-4.38
184,1176102,347.0625,-4.875,-6.5625,-5.64,2.02,19.65
185,1186271,347.25,-4.5,-3.5,-8.09,-4.09,-19.639999
186,1195286,347.625,-4.75,-0.8125,-8.09,-4.09,-19.639999
187,1205425,347.8125,-5,1.75,0.16,2.69,-0.78
188,1216221,347.8125,-4.875,4.5,1.78,-2.77,39.310001
189,1226117,347.875,-4.8125,7.125,7.81,13.27,22.32
190,1236354,348.1875,-3.6875,8.875,-0.35,-13.83,3.81
191,1245208,348.75,-5.6875,7.1875,-0.35,-13.83,3.81
192,1255241,348.5625,-2.8125,5.0625,7.01,-2.59,-4.3
193,1266127,347.6875,-2.3125,3.5,3.89,-33.939999,15.25
194,1276187,346.125,1.8125,2.25,6.15,-5.61,-7.86
195,1286364,344.875,0.625,1.3125,-1.54,25.34,7.93
196,1295326,344.6875,2.875,1.375,-1.54,25.34,7.93
197,1307885,344.4375,3,1.875,7.38,-16.84,-4.43
198,1316807,343.75,3.5,2.25,5.11,16.379999,13.99
199,1326709,342.75,5.1875,2.4375,15.55,19.59,29.549999
200,1336961,342.125,4.125,2.6875,-8.65,-12.76,-0.83
201,1346142,341.875,4.5,2.9375,2.6,6.21,14.72
202,1356270,341.75,5.0625,3.1875,1.12,0.38,-2.42
203,1366837,341.5,4.875,3.4375,1.94,-3.6,14.42
204,1376887,341.125,4.5,3.5625,2.32,10.9,17.15
205,1387030,341,3.6875,3.625,3.79,7.46,5.59
206,1396266,340.9375,3.125,3.5625,3.79,7.46,5.59
207,1406555,340.75,2.6875,3.75,4.85,4.93,14.04
208,1417775,340.5625,2.1875,4,-0.95,4.67,7.2
209,1426967,340.5625,1.9375,4.125,-6.78,9.77,18.280001
210,1437077,340.75,1.0625,4.125,-6.39,1.27,3.9
211,1446282,340.8125,0.8125,4.1875,-6.39,1.27,3.9
212,1456519,340.5625,0.3125,4.375,4.43,8.36,9.28
213,1466982,340.3125,-0.3125,4.875,6.82,4.04,2.08
214,1477053,340.25,-0.25,5.5,-6.46,9.62,11.11
215,1487221,340.4375,-1.0625,6.125,-2.96,14.72,12.84
216,1496299,340.5,-1.25,6.4375,-2.96,14.72,12.84
217,1506729,340.625,-1.6875,5.75,-13.45,39.07,14.08
218,1520007,340.75,-2.4375,4.9375,9.06,39.189999,5.93
219,1527102,340.875,-2.0625,4.5,7.65,28.1,16.049999
220,1537302,340.9375,-2.1875,4.5625,13.87,25.17,6.09
221,1546406,341.0625,-1.3125,5,13.87,25.17,6.09
222,1556591,341,-1.5625,5.8125,-13.59,-8.07,8.16
223,1567201,341,-1.375,6.375,-1.98,-10.53,8.98
224,1577180,341.125,-1.4375,6.8125,-0.17,-8.34,7.4
225,1587418,341.125,-1,7,-1.57,-4.88,3.32
226,1596426,341,-0.9375,7.125,-1.57,-4.88,3.32
227,1606843,341,-0.75,7.1875,0.45,-11.96,10.05
228,1618638,341.0625,-0.625,7.125,-0.07,-7.72,13.1
229,1627289,341.0625,-0.5,6.9375,3.32,-8.43,9.51
230,1637521,340.8125,-0.5,6.6875,1.95,-4.63,2.95
231,1646534,340.625,-0.4375,6.3125,1.95,-4.63,2.95
232,1656598,340.625,-0.375,5.9375,0.24,-6.39,6.42
233,1667429,340.6875,-0.625,5.5625,-1.4,-8.39,9.75
234,1677420,340.625,-0.4375,5.25,0.98,-6.24,11.36
235,1687664,340.375,-0.5625,5,4.32,-7.75,10.57
236,1696467,340.1875,-0.5,4.875,4.32,-7.75,10.57
237,1706935,340.1875,-0.75,4.75,-3.44,-8.87,11.87
238,1720214,340.125,-0.8125,4.625,-1.38,-5.17,7.85
239,1727756,339.9375,-0.8125,4.5625,2.26,-5.89,10.61
240,1737914,339.75,-0.9375,4.5625,-1.5,-5.55,9.9
241,1747201,339.625,-1.125,4.5625,-1.5,-5.55,9.9
242,1757268,339.625,-1.3125,4.625,-0.58,-0.35,11.13
