,0,1,2,3,4
0,time,position,velocity,current,rpm
1,2022-05-04 15:56:47.235000,-0.014,0.058,8.61,66.834
2,2022-05-04 15:56:47.269000,-0.008,0.487,18.351,292.053
3,2022-05-04 15:56:47.302000,0.02,1.307,23.186,574.036
4,2022-05-04 15:56:47.334000,0.071,2.146,23.334,872.498
5,2022-05-04 15:56:47.374000,0.182,3.261,24.81,1256.104
6,2022-05-04 15:56:47.406000,0.293,4.229,22.915,1532.593
7,2022-05-04 15:56:47.438000,0.438,5.071,25.833,1843.872
8,2022-05-04 15:56:47.468000,0.614,5.96,25.303,2128.601
9,2022-05-04 15:56:47.571000,0.799,6.829,9.543,2692.566
10,2022-05-04 15:56:47.585000,1.556,8.114,10.977,2673.34
11,2022-05-04 15:56:47.596000,1.66,8.04,11.043,2681.58
12,2022-05-04 15:56:47.608000,1.76,7.941,12.141,2659.607
13,2022-05-04 15:56:47.620000,1.849,8.084,7.677,2697.144
