,0,1,2,3,4
0,time,position,velocity,current,rpm
1,2022-05-03 18:40:18.621000,-0.014,0.003,3.822,21.973
2,2022-05-03 18:40:18.634000,-0.013,0.063,10.312,52.185
3,2022-05-03 18:40:18.648000,-0.011,0.245,15.283,124.512
4,2022-05-03 18:40:18.662000,-0.006,0.49,18.156,216.064
5,2022-05-03 18:40:18.699000,0.017,1.296,18.522,502.625
6,2022-05-03 18:40:18.726000,0.057,1.863,23.915,758.057
7,2022-05-03 18:40:18.755000,0.118,2.647,23.837,1021.729
8,2022-05-03 18:40:18.781000,0.202,3.428,24.639,1257.019
9,2022-05-03 18:40:18.809000,0.303,4.248,24.317,1547.241
10,2022-05-03 18:40:18.836000,0.431,4.983,23.778,1789.856
11,2022-05-03 18:40:18.863000,0.572,5.726,24.322,2060.852
12,2022-05-03 18:40:18.897000,0.74,6.563,25.664,2351.074
13,2022-05-03 18:40:18.922000,1.007,7.542,20.838,2539.673
14,2022-05-03 18:40:18.941000,1.147,7.79,15.341,2615.662
15,2022-05-03 18:40:18.953000,1.279,7.969,11.836,2659.607
16,2022-05-03 18:40:18.966000,1.373,8.101,9.374,2658.692
17,2022-05-03 18:40:18.975000,1.466,8.062,8.486,2687.073
18,2022-05-03 18:40:18.986000,1.552,8.145,7.635,2678.833
19,2022-05-03 18:40:18.995000,1.629,8.059,9.411,2684.326
20,2022-05-03 18:40:19.004000,1.708,8.076,8.98,2697.144
21,2022-05-03 18:40:19.014000,1.773,7.641,14.122,2663.269
22,2022-05-03 18:40:19.024000,1.859,8.158,7.082,2698.059
