,0,1,2,3,4
0,time,position,velocity,current,rpm
1,2022-05-04 16:30:21.978000,-0.017,0.052,10.172,63.171
2,2022-05-04 16:30:22.014000,-0.011,0.473,19.993,297.546
3,2022-05-04 16:30:22.036000,0.016,1.244,22.848,515.442
4,2022-05-04 16:30:22.054000,0.049,1.805,24.749,671.997
5,2022-05-04 16:30:22.077000,0.103,2.485,24.686,898.132
6,2022-05-04 16:30:22.089000,0.136,2.87,22.786,1022.644
7,2022-05-04 16:30:22.101000,0.173,3.159,24.729,1115.112
8,2022-05-04 16:30:22.112000,0.213,3.522,24.939,1217.651
9,2022-05-04 16:30:22.124000,0.254,3.855,23.369,1335.755
10,2022-05-04 16:30:22.135000,0.298,4.166,23.192,1437.378
11,2022-05-04 16:30:22.145000,0.349,4.466,24.421,1531.677
12,2022-05-04 16:30:22.158000,0.398,4.763,24.943,1656.189
13,2022-05-04 16:30:22.169000,0.455,5.11,25.078,1773.377
14,2022-05-04 16:30:22.180000,0.517,5.448,24.887,1854.859
15,2022-05-04 16:30:22.193000,0.579,5.723,27.359,1976.624
16,2022-05-04 16:30:22.205000,0.649,6.084,25.245,2092.896
17,2022-05-04 16:30:22.217000,0.73,6.428,25.621,2202.759
18,2022-05-04 16:30:22.230000,0.815,6.78,26.778,2307.129
19,2022-05-04 16:30:22.243000,0.901,7.096,27.333,2415.161
20,2022-05-04 16:30:22.256000,0.996,7.438,23.331,2533.264
21,2022-05-04 16:30:22.268000,1.089,7.671,18.057,2591.858
22,2022-05-04 16:30:22.281000,1.194,7.894,13.211,2619.324
23,2022-05-04 16:30:22.294000,1.293,7.944,14.045,2663.269
24,2022-05-04 16:30:22.307000,1.391,8.065,10.152,2667.847
25,2022-05-04 16:30:22.321000,1.506,8.068,9.84,2712.708
26,2022-05-04 16:30:22.334000,1.612,8.004,11.492,2677.918
27,2022-05-04 16:30:22.346000,1.714,8.076,9.862,2604.676
28,2022-05-04 16:30:22.359000,1.811,8.087,10.623,2702.637
