,0,1,2,3,4
0,time,position,velocity,current,rpm
1,2022-05-04 16:23:52.432000,-0.019,0.05,6.672,57.678
2,2022-05-04 16:23:52.462000,-0.013,0.402,16.989,255.432
3,2022-05-04 16:23:52.493000,0.007,1.117,21.107,473.328
4,2022-05-04 16:23:52.525000,0.051,1.863,24.556,802.918
5,2022-05-04 16:23:52.559000,0.13,2.897,24.24,1112.366
6,2022-05-04 16:23:52.602000,0.288,4.188,23.485,1532.593
7,2022-05-04 16:23:52.632000,0.425,5.03,24.267,1799.927
8,2022-05-04 16:23:52.662000,0.582,5.839,23.648,2085.572
9,2022-05-04 16:23:52.692000,0.767,6.667,25.227,2326.355
10,2022-05-04 16:23:52.723000,0.99,7.451,18.813,2573.548
11,2022-05-04 16:23:52.753000,1.218,7.881,14.177,2664.185
12,2022-05-04 16:23:52.782000,1.468,8.021,11.974,2680.664
13,2022-05-04 16:23:52.814000,1.697,8.076,12.029,2679.749
