,0,1,2,3,4
0,time,position,velocity,current,rpm
1,2022-05-03 18:35:12.340000,-0.013,-0.006,3.105,12.817
2,2022-05-03 18:35:12.352000,-0.013,0.063,9.226,30.212
3,2022-05-03 18:35:12.366000,-0.011,0.179,14.44,98.877
4,2022-05-03 18:35:12.379000,-0.008,0.424,17.401,181.274
5,2022-05-03 18:35:12.402000,0.008,0.925,20.002,363.464
6,2022-05-03 18:35:12.423000,0.022,1.246,21.416,521.851
7,2022-05-03 18:35:12.452000,0.06,1.945,22.784,793.762
8,2022-05-03 18:35:12.479000,0.126,2.763,23.214,1049.194
9,2022-05-03 18:35:12.507000,0.213,3.558,24.865,1315.613
10,2022-05-03 18:35:12.533000,0.317,4.292,24.449,1561.89
11,2022-05-03 18:35:12.562000,0.442,5.079,24.529,1836.548
12,2022-05-03 18:35:12.590000,0.605,5.888,24.88,2087.403
13,2022-05-03 18:35:12.616000,0.775,6.692,24.56,2315.369
14,2022-05-03 18:35:12.645000,0.958,7.358,24.125,2539.673
15,2022-05-03 18:35:12.669000,1.164,7.806,12.575,2649.536
16,2022-05-03 18:35:12.697000,1.374,8.059,9.585,2685.242
17,2022-05-03 18:35:12.723000,1.591,8.018,9.608,2685.242
18,2022-05-03 18:35:12.749000,1.795,8.079,9.007,2748.413
