,0,1,2,3,4
0,time,position,velocity,current,rpm
1,2022-05-04 16:31:46.363000,-0.017,0.047,7.106,96.13
2,2022-05-04 16:31:46.396000,-0.009,0.457,20.078,278.32
3,2022-05-04 16:31:46.428000,0.015,1.202,24.306,520.02
4,2022-05-04 16:31:46.456000,0.063,2.113,19.293,867.92
5,2022-05-04 16:31:46.523000,0.266,4.006,19.561,1502.38
6,2022-05-04 16:31:46.616000,0.853,6.984,19.434,2326.355
7,2022-05-04 16:31:46.627000,0.927,7.217,21.327,2441.712
8,2022-05-04 16:31:46.638000,1.005,7.52,19.041,2540.589
9,2022-05-04 16:31:46.649000,1.092,7.71,15.693,2572.632
10,2022-05-04 16:31:46.660000,1.183,7.677,15.024,2592.774
11,2022-05-04 16:31:46.672000,1.27,7.82,12.831,2613.831
12,2022-05-04 16:31:46.684000,1.358,7.916,11.798,2642.212
13,2022-05-04 16:31:46.694000,1.451,7.938,10.077,2644.959
14,2022-05-04 16:31:46.706000,1.54,7.949,10.428,2667.847
15,2022-05-04 16:31:46.716000,1.621,7.936,11.529,2648.621
16,2022-05-04 16:31:46.728000,1.71,7.93,9.598,2625.733
17,2022-05-04 16:31:46.738000,1.801,7.773,12.012,2608.338
