,0,1,2,3,4
0,time,position,velocity,current,rpm
1,2022-05-04 16:33:46.689000,-0.033,0.028,6.403,50.354
2,2022-05-04 16:33:46.720000,-0.028,0.382,17.875,247.192
3,2022-05-04 16:33:46.751000,-0.007,1.092,21.766,494.385
4,2022-05-04 16:33:46.781000,0.036,1.868,24.608,770.874
5,2022-05-04 16:33:46.823000,0.133,3.035,25.497,1155.396
6,2022-05-04 16:33:46.852000,0.24,3.932,23.568,1451.111
7,2022-05-04 16:33:46.882000,0.365,4.727,24.009,1724.854
8,2022-05-04 16:33:46.914000,0.524,5.572,25.826,2015.076
9,2022-05-04 16:33:46.944000,0.705,6.485,25.733,2300.72
10,2022-05-04 16:33:46.974000,0.912,7.278,24.248,2552.49
11,2022-05-04 16:33:47.004000,1.139,7.831,13.404,2651.367
12,2022-05-04 16:33:47.034000,1.38,8.079,9.177,2682.495
13,2022-05-04 16:33:47.063000,1.625,8.098,9.936,2661.438
14,2022-05-04 16:33:47.094000,1.848,8.112,7.551,2753.906
