t,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
7706,0,-0.014661,-0.002443,-0.239282,2.029114,9.738788
10469,0,-0.012217,-0.004887,-0.229711,2.033899,9.729217
13464,0,-0.012217,0,-0.196211,2.029114,9.734003
16463,-0.002443,-0.014661,-0.002443,-0.210568,2.024328,9.738788
20669,0,-0.012217,-0.002443,-0.22014,2.019542,9.743573
23613,0,-0.009774,-0.002443,-0.22014,2.024328,9.757931
26396,0,-0.012217,0,-0.215354,2.029114,9.724432
29399,-0.002443,-0.012217,0,-0.22014,2.029114,9.719646
32403,0.002443,-0.014661,-0.002443,-0.224925,2.014757,9.724432
35404,0.002443,-0.012217,0.002443,-0.229711,2.009971,9.724432
38404,0.002443,-0.012217,0,-0.229711,2.024328,9.74836
41407,0,-0.012217,-0.002443,-0.229711,2.024328,9.719646
44408,0.002443,-0.009774,-0.004887,-0.22014,2.024328,9.743573
47410,-0.002443,-0.012217,0,-0.215354,1.986043,9.729217
50413,0,-0.014661,-0.002443,-0.224925,1.981257,9.719646
53414,0,-0.012217,-0.002443,-0.244068,2.005185,9.719646
56416,0,-0.009774,0,-0.229711,2.029114,9.777073
59417,0,-0.014661,-0.002443,-0.234497,2.053042,9.772288
62418,0.002443,-0.014661,-0.004887,-0.210568,2.029114,9.757931
65420,0,-0.014661,-0.004887,-0.22014,2.009971,9.724432
68422,0,-0.014661,-0.002443,-0.22014,2.043471,9.724432
71425,0.002443,-0.014661,-0.002443,-0.234497,2.206183,9.872787
74768,0.00733,-0.014661,-0.002443,0.157926,3.589234,11.059627
77508,0.046426,-0.048869,-0.00733,0.545564,4.699504,12.02154
80493,0.090408,-0.073304,-0.017104,1.115055,5.45085,12.600604
83496,0.13439,-0.105069,-0.031765,1.40698,7.915458,14.361722
86500,0.229685,0.068417,-0.065973,0.751346,11.480763,17.577675
89565,0.342085,0.283441,-0.095295,-0.210568,12.959527,20.870199
92619,0.476475,0.302989,-0.151495,-0.29671,16.438692,19.28615
95501,0.69883,0.046426,-0.139277,-0.234497,16.094126,17.635103
98502,0.777021,-0.102625,-0.061087,-0.277567,16.036697,18.434305
101503,0.869872,-0.166155,-0.058643,-0.732204,16.826328,18.333809
104504,1.062906,-0.105069,-0.109956,-0.559921,17.548962,16.941183
107540,1.163087,-0.058643,-0.100182,-1.636691,18.841085,16.577475
110525,1.211957,-0.012217,-0.092852,-2.392823,21.128626,12.768102
113512,1.40499,0.031765,-0.065973,-3.010171,22.750957,11.787044
116628,1.409877,-0.07086,-0.026878,-1.751546,24.000011,10.131212
119513,1.417207,-0.263894,-0.00733,-1.249053,24.502504,8.116454
122737,1.466076,-0.293215,-0.041539,-1.091127,25.129423,6.60419
125515,1.422094,-0.398284,-0.06353,-0.105284,24.583858,4.086941
128516,1.370782,-0.57177,-0.11973,-1.071985,23.574087,0.416351
131519,1.177748,-0.346971,-0.215025,-0.78006,23.607588,-1.502692
134520,1.114218,-0.378736,-0.215025,-0.267996,24.741785,-1.201197
137522,1.026254,-0.483805,-0.171042,-0.306281,25.215565,-4.603791
140524,0.764803,-0.681726,-0.00733,0.066999,26.182268,-11.52862
143525,0.566883,-0.823446,0.039095,0.062213,22.090538,-10.604989
146528,0.014661,-0.864985,0.193033,3.517449,30.479774,-21.501904
149529,-0.847881,-1.541824,0.175929,0.119641,48.961937,-30.293135
152531,-0.540005,-1.08001,-0.026878,2.249253,62.629742,-22.770102
155533,-0.37385,-0.603535,-0.50091,-5.355137,41.381474,4.991428
158535,-0.498466,2.157576,-0.447153,-5.809773,18.458235,21.229122
161537,-0.559553,2.575408,-0.268781,-0.904487,4.59422,17.424536
164539,-0.349415,1.260826,0.302989,-7.661819,19.87957,-0.875773
167540,-0.784351,1.138653,0.366519,-6.312266,36.744183,9.020942
170542,-0.894307,1.182635,0.430049,0.019143,42.439102,24.282366
173545,-0.315206,-0.371406,0.180816,17.075182,49.813786,29.546574
176547,0.390954,-1.744631,-0.141721,16.137196,30.005997,35.217567
179548,0.354302,-0.549779,-0.540005,6.78126,25.330421,20.300707
182549,1.021367,0.623083,-0.652404,-2.254039,25.828129,-5.201997
185550,0.581544,-0.058643,-0.212581,-6.766902,26.900114,-13.615161
188551,-0.459371,-0.967611,-0.11973,-8.111669,32.499317,-21.138195
191552,-0.432493,-0.302989,-0.168599,-5.78106,62.074604,6.518049
194553,-0.048869,0.161268,-0.151495,-4.063013,40.79763,-36.418762
197554,-0.337198,-0.987158,0.207694,3.436093,19.180866,-4.991428
200556,-1.957212,-1.15087,0.219911,-7.235896,18.21895,8.997013
203559,-0.464258,1.153314,0.156382,4.130012,8.427522,6.302695
206561,-0.295659,0.349415,0.237016,4.546363,5.699704,13.954943
209853,-0.195477,-0.329867,0.227242,0.306281,21.291336,27.555746
212571,0.356745,0.087965,0.131947,-0.622134,33.265022,26.201408
215572,0.662178,0.806342,-0.019548,-2.526821,46.808395,21.410976
218573,0.400728,0.405614,-0.251676,14.251653,53.307304,29.37429
221574,0.405614,-0.5791,-0.295659,10.380065,30.388847,37.749168
224576,0.759916,0.349415,-0.513127,8.240881,17.400608,18.458235
227578,1.175305,0.713491,-0.591318,-3.244668,19.128225,-3.158526
230578,0.928515,-0.017104,-0.51557,-8.729016,21.037697,-2.871387
233580,0.757473,0.466701,-0.210138,-11.834901,20.937197,0.358923
236582,0.498466,0.00733,0.048869,-4.819145,24.416363,14.854644
239584,0.979828,-0.237016,0.237016,2.249253,29.460432,17.548962
242585,1.189965,-0.090408,0.188146,1.957329,30.317062,14.49572
245587,1.243722,0.205251,-0.107512,-0.909273,11.667403,-27.905098
248588,0.552222,-0.566883,0.185703,-2.74696,5.240281,-28.603804
251589,-0.772134,-1.33413,0.337198,-1.732404,6.384051,-17.285749
254590,-1.153314,-1.446529,0.366519,1.574477,9.571291,-5.924629
257592,-1.238835,-1.558928,0.305433,4.675576,6.369694,-2.469393
260595,-1.463633,-2.089159,0.224798,10.006784,2.306681,-9.887143
263598,-1.439198,-0.530231,-0.259007,-0.727418,12.112469,-9.059227
266599,-0.899194,1.177748,-0.422719,3.249453,11.145767,-3.469593
269602,-1.075123,0.608422,-0.376293,-0.37328,9.169296,15.577276
272605,-1.319469,0.102625,-0.439823,3.168097,-1.622334,7.499106
275607,-1.260826,0.713491,-0.403171,3.005385,-1.167697,4.445865
278608,-1.295034,1.434312,-0.432493,3.268596,-2.56032,2.440679
281609,-1.488068,2.379931,-0.454484,-3.072384,-0.689133,3.852444
284611,-1.681101,2.629164,-0.403171,-6.384051,-6.532406,11.830115
287613,-2.10382,2.076942,-0.188146,-6.192625,-5.312067,15.912271
290616,-2.113594,0.19059,0.237016,-8.456235,20.047068,62.782883
293618,-1.287704,0.799012,0.256563,3.742374,38.902512,111.754387
296620,0.476475,-1.34879,0.021991,17.745174,59.964138,97.067253
299621,2.350609,1.20707,-0.940732,-4.0008,79.011002,42.419956
302623,1.392773,2.240654,-0.715934,-2.526821,13.390236,14.873785
305626,0.659734,-1.937665,-0.344528,-0.459422,-2.589034,-32.298321
308628,0.31032,0.18326,-0.175929,-11.169696,13.830516,5.024928
311635,0.300546,3.266907,0.234572,-9.810574,14.031512,-31.623545
314633,0.471588,2.333505,0.596204,-5.134997,7.259824,-28.029526
317634,-0.632856,-0.158825,0.948063,-10.030713,-2.072184,-32.307892
320637,-0.383623,0.386067,0.899194,-13.983656,-7.475178,-12.193825
323639,0.251676,-0.080634,0.987158,-3.010171,6.987042,17.927027
329434,0.378736,-3.049439,0.6353,14.155939,3.579663,8.729016
332160,1.128879,-4.065919,-0.131947,14.634504,-0.0335,-17.113466
335161,0.649961,-3.115413,-0.425162,16.08934,-4.297509,-43.58287
338163,-0.654848,-0.061087,-0.816116,9.322437,8.432307,16.476976
341165,-1.988977,1.253495,-0.899194,-1.18684,-4.211368,-11.624333
344168,-1.202183,1.038471,-0.882089,-8.164311,0.291924,22.468603
347171,-0.017104,2.966362,-0.537561,-12.050256,0.736989,19.750359
350174,0.400728,4.065919,-0.185703,-8.398808,-0.650848,15.548561
