t,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
280381,0.224798,-0.168599,-0.129503,-1.009771,27.728027,3.632305
283382,0.180816,0.342085,-0.046426,-2.952743,26.813969,0.564706
286384,0.139277,0.180816,-0.017104,-3.814159,29.862429,2.364109
289387,0.073304,0.031765,-0.019548,-0.234497,31.762327,6.197411
292389,0.068417,-0.215025,-0.085521,-0.066999,29.584858,6.211768
295391,0.075747,0.395841,-0.080634,-3.589234,33.346375,4.67079
298394,-0.012217,0.334754,0.021991,-2.163112,19.487146,-7.738389
301396,-0.395841,-0.491136,-0.00733,-0.78006,22.636101,-7.896315
304398,-0.322537,0.117286,-0.002443,0.095713,34.346573,14.615361
307399,-0.095295,0.080634,0.095295,-0.205783,37.988453,16.481762
310401,0.131947,-0.073304,-0.112399,-0.287139,33.552158,11.882757
313403,0,0.415388,0.00733,-1.617548,23.200809,-4.388436
316404,-0.0562,-0.354302,0.158825,1.325624,31.154552,4.555934
319407,-0.202807,-0.271224,-0.219911,1.612763,35.102707,9.083155
322409,0,0.383623,-0.017104,0.440279,29.345575,3.579663
325413,-0.019548,0.26145,0.151495,3.847659,28.412376,7.944171
328414,-0.474031,-0.838107,-0.131947,3.316452,34.619358,17.927027
331414,-0.087965,0.305433,-0.219911,-0.425922,34.25565,18.563519
334417,0.131947,1.043358,0.041539,-0.167498,32.350964,9.140583
337418,0.175929,-0.757473,0.041539,0.004786,35.050068,4.766503
340420,0.041539,-0.18326,-0.031765,0.224925,28.675587,0.66999
343423,-0.202807,0.466701,0.0562,2.344966,25.42135,0.602991
346424,-0.083078,-0.598648,-0.009774,3.684947,27.464819,6.494121
349427,0.021991,-0.039095,-0.166155,0.023928,29.790642,6.388836
352430,0.06353,0.864985,-0.068417,-1.067199,37.198822,13.237095
355433,0.161268,-0.806342,0.051313,-0.459422,39.773499,7.733603
358434,0.144164,-0.300546,-0.185703,-2.043471,29.048864,2.11047
361436,-0.102625,0.835664,0.024435,0.416351,28.747372,-2.167897
364437,-0.095295,-0.481362,-0.078191,-2.952743,29.757143,1.330409
367439,-0.251676,0.241903,-0.232129,-3.038885,27.048468,3.15374
370441,-0.24679,0.574213,0.112399,-1.861616,32.642887,9.719646
373443,0.146608,-0.361632,-0.065973,-2.311467,36.839897,11.212768
376446,0.075747,0.466701,-0.051313,-2.167897,38.648872,13.490734
379450,0.053756,0.329867,0.178373,-2.89053,29.230722,4.790431
382452,-0.065973,-0.305433,-0.075747,-1.665405,26.641687,0.985843
385455,-0.068417,-0.06353,0.039095,-0.387637,22.315462,-2.723032
388457,-0.041539,-0.31765,-0.488692,-3.014956,30.551561,3.053242
391457,-0.195477,0.087965,0.017104,-2.383251,33.59523,10.700702
394460,-0.109956,-0.305433,0.227242,0.708275,30.264421,6.551549
397462,-0.0562,-0.781907,-0.532674,-1.014557,37.189251,12.916457
401581,-0.00733,0.708604,0.061087,-0.143569,33.399021,9.111869
404293,-0.053756,-0.344528,-0.012217,-4.82393,8.757731,-11.045269
409454,-1.028697,-0.036652,-0.048869,-1.320838,6.455835,-35.193638
412165,-0.904081,-0.835664,0.11973,4.737789,21.233908,18.955942
415167,-0.544892,-0.838107,0.171042,3.014956,44.764927,16.610975
418169,0.356745,-0.422719,-0.139277,5.79063,56.997036,82.992661
421172,-0.232129,0.222355,-0.273668,-4.197011,28.814371,-24.837498
424175,0.750143,-0.581544,0.004887,-1.928615,-10.083356,-107.562164
427177,-7.875274,-6.411642,-0.356745,6.82433,38.175095,105.049698
430080,-6.267478,0.879646,-1.392773,-9.396614,-21.669403,-32.669209
433181,-8.54967,-7.535633,0.193033,36.11248,-156.796875,-44.99942
436182,-2.587625,-5.319415,2.861293,-6.733403,-50.478985,93.683792
439184,-14.909999,-9.627236,3.357316,22.478176,-77.230743,65.525055
442186,-9.597914,1.319469,1.033584,-36.212978,-10.001998,156.796875
445189,-9.610132,1.707979,0.840551,-102.144814,-84.782494,-77.16375
448191,-6.313903,-5.207015,4.197865,-5.838487,32.705101,134.993484
451205,-8.051204,-3.078761,5.334075,-23.980867,4.776074,-130.590683
454196,-11.926533,0.64263,4.838053,96.684395,19.994427,44.09972
457198,-12.994326,-0.933402,2.915049,71.98568,-11.432907,-129.231567
460199,-12.840387,4.170988,0.752586,94.846703,-20.697916,8.834302
463199,-14.528818,4.547281,-0.737925,-3.144169,-16.223337,31.221548
466200,-13.866641,3.999946,-1.615128,-34.858639,-20.228924,44.176292
469200,-13.529444,7.125133,-0.669508,-13.840086,-15.615561,-33.10231
472202,-12.679119,4.923573,1.605354,0.454636,-15.840487,-77.00103
475203,-13.866641,2.265088,0.459371,15.8692,-11.107484,-57.451672
478212,-15.403578,0.259007,-0.83322,-15.596418,-28.785656,10.27478
481213,-14.560584,1.185079,-2.384818,-29.905497,-25.191637,44.233719
484218,-12.537398,0.564439,-0.803899,-36.165123,-22.975883,31.79104
487221,-10.956478,-0.493579,0.605978,-41.343193,-5.982057,-58.030739
490222,-12.158661,-0.840551,1.275487,-8.915657,-7.326823,-68.640518
493223,-14.404202,-2.861293,0.984715,20.367706,-14.787644,-66.620972
