time,position,velocity,current,rpm
19:35.0,0.012,0.066,7.736,70.496
19:35.1,0.019,0.49,17.141,276.489
19:35.2,0.045,1.257,23.048,1239.624
19:35.2,0.295,3.904,23.784,1358.643
19:35.2,0.394,4.568,25.235,1607.666
19:35.2,0.456,4.945,23.507,1726.685
19:35.2,0.524,5.322,23.845,1846.619
19:35.2,0.604,5.745,24.203,1954.651
19:35.3,0.687,6.136,24.276,2193.604
19:35.3,0.874,6.967,27.575,2466.431
19:35.3,1.093,7.52,19.674,2609.253
19:35.4,1.322,7.974,12.425,2666.931
19:35.4,1.571,8.07,10.474,2709.961
19:35.4,1.741,8.145,5.891,2701.721
19:35.4,1.876,8.087,7.287,2705.384
