,0,1,2,3
0, 903907,0.000000,7.250000,-9.687500
1, 912926,0.000000,7.250000,-9.687500
2, 922898,0.000000,7.250000,-9.687500
3, 932943,0.000000,7.250000,-9.687500
4, 942917,0.000000,7.250000,-9.687500
5, 952949,0.000000,7.250000,-9.687500
6, 962935,0.000000,7.250000,-9.687500
7, 973002,0.000000,7.250000,-9.687500
8, 982957,0.000000,7.250000,-9.687500
9, 992996,0.000000,7.250000,-9.687500
10, 1002977,0.000000,7.250000,-9.687500
11, 1013015,0.000000,7.250000,-9.687500
12, 1022997,0.000000,7.250000,-9.687500
13, 1033033,0.000000,7.250000,-9.687500
14, 1043021,0.000000,7.250000,-9.687500
15, 1053048,0.000000,7.250000,-9.687500
16, 1063034,0.000000,7.250000,-9.687500
17, 1073059,0.000000,7.250000,-9.687500
18, 1083102,0.000000,7.250000,-9.687500
19, 1094346,0.000000,7.250000,-9.687500
20, 1103135,0.000000,7.250000,-9.687500
21, 1113096,0.000000,7.250000,-9.687500
22, 1123085,0.000000,7.250000,-9.687500
23, 1133113,0.000000,7.250000,-9.687500
24, 1143104,0.000000,7.250000,-9.687500
25, 1153247,0.000000,7.250000,-9.687500
26, 1163120,0.000000,7.250000,-9.687500
27, 1173156,0.000000,7.250000,-9.687500
28, 1183251,0.000000,7.250000,-9.687500
29, 1193184,0.000000,7.250000,-9.687500
30, 1203338,0.000000,7.250000,-9.687500
31, 1213196,0.000000,7.250000,-9.687500
32, 1223192,0.000000,7.250000,-9.687500
33, 1233221,0.000000,7.250000,-9.687500
34, 1243234,0.000000,7.250000,-9.687500
35, 1253450,0.000000,7.250000,-9.687500
36, 1263275,0.000000,7.250000,-9.687500
37, 1273308,0.000000,7.250000,-9.687500
38, 1284456,0.000000,7.250000,-9.687500
39, 1293344,0.000000,7.250000,-9.687500
40, 1303543,0.000000,7.250000,-9.687500
41, 1313412,0.000000,7.250000,-9.687500
42, 1323394,0.000000,7.250000,-9.687500
43, 1333424,0.000000,7.250000,-9.687500
44, 1343435,0.000000,7.250000,-9.687500
45, 1353650,0.000000,7.250000,-9.687500
46, 1363475,0.000000,7.250000,-9.687500
47, 1373507,0.000000,7.250000,-9.687500
48, 1383516,0.000000,7.250000,-9.687500
49, 1393544,0.000000,7.250000,-9.687500
50, 1403744,0.000000,7.250000,-9.687500
51, 1413584,0.000000,7.250000,-9.687500
52, 1423596,0.000000,7.250000,-9.687500
53, 1433613,0.000000,7.250000,-9.687500
54, 1443639,0.000000,7.250000,-9.687500
55, 1453854,0.000000,7.250000,-9.687500
56, 1463586,0.000000,7.250000,-9.687500
57, 1473703,0.000000,7.250000,-9.687500
58, 1483633,0.000000,7.250000,-9.687500
59, 1493646,0.000000,7.250000,-9.687500
60, 1503861,0.000000,7.250000,-9.687500
61, 1513685,0.000000,7.250000,-9.687500
62, 1523714,0.000000,7.250000,-9.687500
63, 1533726,0.000000,7.250000,-9.687500
64, 1543753,0.000000,7.250000,-9.687500
65, 1553955,0.000000,7.250000,-9.687500
66, 1563795,0.000000,7.250000,-9.687500
67, 1573797,0.000000,7.250000,-9.687500
68, 1583830,0.000000,7.250000,-9.687500
69, 1594513,0.000000,7.250000,-9.687500
70, 1604216,0.000000,7.250000,-9.687500
71, 1614141,0.000000,7.250000,-9.687500
72, 1624170,0.000000,7.250000,-9.687500
73, 1634159,0.000000,7.250000,-9.687500
74, 1644192,0.000000,7.250000,-9.687500
75, 1654246,0.000000,7.250000,-9.687500
76, 1664212,0.000000,7.250000,-9.687500
77, 1674203,0.000000,7.250000,-9.687500
78, 1684240,0.000000,7.250000,-9.687500
79, 1696667,0.000000,7.250000,-9.687500
80, 1704359,0.000000,7.250000,-9.687500
81, 1714249,0.000000,7.250000,-9.687500
82, 1724277,0.000000,7.250000,-9.687500
83, 1734275,0.000000,7.250000,-9.687500
84, 1744300,0.000000,7.250000,-9.687500
85, 1754455,0.000000,7.250000,-9.687500
86, 1764313,0.000000,7.250000,-9.687500
87, 1774310,0.000000,7.250000,-9.687500
88, 1784339,0.000000,7.250000,-9.687500
89, 1794352,0.000000,7.250000,-9.687500
90, 1804569,0.000000,7.250000,-9.687500
91, 1815619,0.000000,7.250000,-9.687500
92, 1824421,0.000000,7.250000,-9.687500
93, 1834434,0.000000,7.250000,-9.687500
94, 1844460,0.000000,7.250000,-9.687500
95, 1854659,0.000000,7.250000,-9.687500
96, 1864497,0.000000,7.250000,-9.687500
97, 1874512,0.000000,7.250000,-9.687500
98, 1884540,0.000000,7.250000,-9.687500
99, 1894608,0.000000,7.250000,-9.687500
100, 1906025,0.000000,7.250000,-9.687500
101, 1914603,0.000000,7.250000,-9.687500
102, 1924617,0.000000,7.250000,-9.687500
103, 1934631,0.000000,7.250000,-9.687500
104, 1944656,0.000000,7.250000,-9.687500
105, 1954873,0.000000,7.250000,-9.687500
106, 1964728,0.000000,7.250000,-9.687500
107, 1974759,0.000000,7.250000,-9.687500
108, 1984739,0.000000,7.250000,-9.687500
109, 1994767,0.000000,7.250000,-9.687500
110, 2004976,0.000000,7.250000,-9.687500
111, 2014799,0.000000,7.250000,-9.687500
112, 2024835,0.000000,7.250000,-9.687500
113, 2034752,0.000000,7.250000,-9.687500
114, 2044780,0.000000,7.250000,-9.687500
115, 2054982,0.000000,7.250000,-9.687500
116, 2064823,0.000000,7.250000,-9.687500
117, 2074835,0.000000,7.250000,-9.687500
118, 2084864,0.000000,7.250000,-9.687500
119, 2094877,0.000000,7.250000,-9.687500
120, 2106442,0.000000,7.250000,-9.687500
