2022-05-11 13:44:23,448, [INFO], catapult, position:-0.037, velocity: 00.033, current: 009.499, mechpower:0000.081, power:0000.414, rpm:0057.678
2022-05-11 13:44:23,488, [INFO], catapult, position:-0.032, velocity: 00.438, current: 020.826, mechpower:0005.772, power:0008.091, rpm:0310.364
2022-05-11 13:44:23,517, [INFO], catapult, position:-0.001, velocity: 01.321, current: 026.064, mechpower:0023.018, power:0030.240, rpm:0573.120
2022-05-11 13:44:23,540, [INFO], catapult, position:0.044, velocity: 01.987, current: 027.055, mechpower:0041.478, power:0053.029, rpm:0772.705
2022-05-11 13:44:23,570, [INFO], catapult, position:0.122, velocity: 02.851, current: 028.863, mechpower:0071.442, power:0091.253, rpm:1050.110
2022-05-11 13:44:23,590, [INFO], catapult, position:0.180, velocity: 03.428, current: 029.720, mechpower:0091.161, power:0116.284, rpm:1244.202
2022-05-11 13:44:23,608, [INFO], catapult, position:0.254, velocity: 03.973, current: 027.580, mechpower:0111.955, power:0144.530, rpm:1423.645
2022-05-11 13:44:23,625, [INFO], catapult, position:0.330, velocity: 04.521, current: 026.590, mechpower:0132.112, power:0171.022, rpm:1597.595
2022-05-11 13:44:23,642, [INFO], catapult, position:0.413, velocity: 05.002, current: 028.569, mechpower:0150.000, power:0194.942, rpm:1763.306
2022-05-11 13:44:23,662, [INFO], catapult, position:0.505, velocity: 05.544, current: 028.617, mechpower:0172.305, power:0223.875, rpm:1973.877
2022-05-11 13:44:23,680, [INFO], catapult, position:0.621, velocity: 06.117, current: 027.304, mechpower:0191.581, power:0249.146, rpm:2128.601
2022-05-11 13:44:23,700, [INFO], catapult, position:0.742, velocity: 06.769, current: 024.915, mechpower:0211.782, power:0276.362, rpm:2307.129
2022-05-11 13:44:23,721, [INFO], catapult, position:0.880, velocity: 07.138, current: 028.516, mechpower:0236.460, power:0309.986, rpm:2471.924
2022-05-11 13:44:23,739, [INFO], catapult, position:1.026, velocity: 07.658, current: 029.929, mechpower:0261.621, power:0342.246, rpm:2687.073
2022-05-11 13:44:23,759, [INFO], catapult, position:1.173, velocity: 08.202, current: 030.220, mechpower:0287.367, power:0377.300, rpm:2825.318
2022-05-11 13:44:23,777, [INFO], catapult, position:1.331, velocity: 08.684, current: 030.911, mechpower:0315.425, power:0414.103, rpm:3000.183
2022-05-11 13:44:23,795, [INFO], catapult, position:1.508, velocity: 09.232, current: 030.381, mechpower:0339.973, power:0443.782, rpm:3145.752
2022-05-11 13:44:23,814, [INFO], catapult, position:1.679, velocity: 09.598, current: 022.722, mechpower:0337.494, power:0439.558, rpm:3197.937
2022-05-11 13:44:23,835, [INFO], catapult, position:1.861, velocity: 09.873, current: 014.400, mechpower:0316.768, power:0406.073, rpm:3381.958
