,0,1,2,3,4
0,time,position,velocity,current,rpm
1,2022-05-11 13:44:23.448000,-0.037,0.033,9.499,57.678
2,2022-05-11 13:44:23.488000,-0.032,0.438,20.826,310.364
3,2022-05-11 13:44:23.517000,-0.001,1.321,26.064,573.12
4,2022-05-11 13:44:23.540000,0.044,1.987,27.055,772.705
5,2022-05-11 13:44:23.570000,0.122,2.851,28.863,1050.11
6,2022-05-11 13:44:23.590000,0.18,3.428,29.72,1244.202
7,2022-05-11 13:44:23.608000,0.254,3.973,27.58,1423.645
8,2022-05-11 13:44:23.625000,0.33,4.521,26.59,1597.595
9,2022-05-11 13:44:23.642000,0.413,5.002,28.569,1763.306
10,2022-05-11 13:44:23.662000,0.505,5.544,28.617,1973.877
11,2022-05-11 13:44:23.680000,0.621,6.117,27.304,2128.601
12,2022-05-11 13:44:23.700000,0.742,6.769,24.915,2307.129
13,2022-05-11 13:44:23.721000,0.88,7.138,28.516,2471.924
14,2022-05-11 13:44:23.739000,1.026,7.658,29.929,2687.073
15,2022-05-11 13:44:23.759000,1.173,8.202,30.22,2825.318
16,2022-05-11 13:44:23.777000,1.331,8.684,30.911,3000.183
17,2022-05-11 13:44:23.795000,1.508,9.232,30.381,3145.752
18,2022-05-11 13:44:23.814000,1.679,9.598,22.722,3197.937
19,2022-05-11 13:44:23.835000,1.861,9.873,14.4,3381.958
