time,position,velocity,current,rpm
11:10.6,0.013,0.047,6.811,65.002
11:10.6,0.019,0.432,15.556,276.489
11:10.6,0.045,1.274,16.465,520.935
11:10.7,0.096,2.033,23.218,832.214
11:10.8,0.531,5.355,23.964,1820.068
11:10.8,0.587,5.605,25.662,1944.58
11:10.8,0.66,6.023,23.789,2035.218
11:10.8,0.727,6.241,25.894,2155.152
11:10.8,0.8,6.629,23.209,2259.522
11:10.8,0.883,6.926,25.574,2364.807
11:10.9,0.981,7.316,24.463,2487.488
11:10.9,1.078,7.603,22.103,2544.251
11:10.9,1.174,7.746,15.402,2612.915
11:10.9,1.278,7.864,13.229,2655.945
11:10.9,1.391,8.029,9.208,2683.411
11:10.9,1.496,8.092,10.835,2678.833
11:10.9,1.591,8.092,8.117,2702.637
11:11.0,1.69,8.205,5.967,2711.792
11:11.0,1.791,8.15,7.209,2678.833
