time,position,velocity,current,rpm
30:20.0,-0.018,0.041,10.023,60.425
30:20.0,-0.013,0.413,18.696,251.77
30:20.0,0.01,1.139,23.034,529.175
30:20.0,0.058,2.011,25.254,836.792
30:20.1,0.167,3.225,22.833,1219.483
30:20.1,0.28,4.114,24.659,1528.931
30:20.2,0.422,5.005,24.686,1842.957
30:20.2,0.605,5.949,25.422,2135.926
30:20.2,0.81,6.868,24.113,2415.161
30:20.2,1.04,7.682,18.237,2622.986
30:20.3,1.284,7.966,10.374,2677.002
30:20.3,1.548,8.059,6.884,2685.242
30:20.3,1.815,8.002,9.476,2746.582
