time,position,velocity,current,rpm
18:14.6,-0.018,0.019,6.513,32.043
18:14.6,-0.014,0.333,16.73,212.402
18:14.7,0.005,1.018,22.702,470.581
18:14.7,0.046,1.811,21.726,749.817
18:14.7,0.141,2.977,21.486,1146.24
18:14.8,0.251,3.877,25.834,1441.04
18:14.8,0.377,4.705,23.871,1729.431
18:14.8,0.525,5.558,24.999,1998.596
18:14.9,0.718,6.466,25.116,2301.636
18:14.9,0.927,7.25,23.157,2550.659
18:14.9,1.183,7.886,11.548,2682.495
18:15.0,1.48,8.101,10.478,2690.735
18:15.0,1.722,8.12,10.764,2662.354
