0,time,position,velocity,current,rpm
1,17:37:43,0.013,0.008,-7.344,57.678
2,17:37:43,0.018,0.393,-16.844,228.882
3,17:37:43,0.037,1.015,-20.156,471.497
4,17:37:43,0.078,1.75,-24.984,736.084
5,17:37:43,0.163,2.724,-30.068,1059.265
6,17:37:43,0.25,4.017,-20.124,1431.885
7,17:37:43,0.882,6.928,-28.4,2351.074
8,17:37:43,0.953,7.228,-26.099,2421.57
9,17:37:43,1.028,7.443,-22.958,2484.741
10,17:37:43,1.11,7.614,-19.687,2598.267
11,17:37:43,1.187,7.74,-18.928,2594.605
12,17:37:43,1.264,7.87,-13.237,2649.536
13,17:37:43,1.378,8.002,-12.049,2677.002
14,17:37:43,1.539,8.07,-8.922,2707.215
15,17:37:43,1.86,7.996,-8.912,2717.285
