,0,1,2,3,4
0,time,position,velocity,current,rpm
1,2022-05-09 10:30:19.951000,-0.018,0.041,10.023,60.425
2,2022-05-09 10:30:19.982000,-0.013,0.413,18.696,251.77
3,2022-05-09 10:30:20.015000,0.01,1.139,23.034,529.175
4,2022-05-09 10:30:20.048000,0.058,2.011,25.254,836.792
5,2022-05-09 10:30:20.089000,0.167,3.225,22.833,1219.483
6,2022-05-09 10:30:20.121000,0.28,4.114,24.659,1528.931
7,2022-05-09 10:30:20.153000,0.422,5.005,24.686,1842.957
8,2022-05-09 10:30:20.186000,0.605,5.949,25.422,2135.926
9,2022-05-09 10:30:20.219000,0.81,6.868,24.113,2415.161
10,2022-05-09 10:30:20.249000,1.04,7.682,18.237,2622.986
11,2022-05-09 10:30:20.282000,1.284,7.966,10.374,2677.002
12,2022-05-09 10:30:20.315000,1.548,8.059,6.884,2685.242
13,2022-05-09 10:30:20.349000,1.815,8.002,9.476,2746.582
