,0,1,2,3,4
0,time,position,velocity,current,rpm
1,2022-05-09 10:18:14.603000,-0.018,0.019,6.513,32.043
2,2022-05-09 10:18:14.633000,-0.014,0.333,16.73,212.402
3,2022-05-09 10:18:14.666000,0.005,1.018,22.702,470.581
4,2022-05-09 10:18:14.695000,0.046,1.811,21.726,749.817
5,2022-05-09 10:18:14.737000,0.141,2.977,21.486,1146.24
6,2022-05-09 10:18:14.768000,0.251,3.877,25.834,1441.04
7,2022-05-09 10:18:14.797000,0.377,4.705,23.871,1729.431
8,2022-05-09 10:18:14.828000,0.525,5.558,24.999,1998.596
9,2022-05-09 10:18:14.861000,0.718,6.466,25.116,2301.636
10,2022-05-09 10:18:14.893000,0.927,7.25,23.157,2550.659
11,2022-05-09 10:18:14.932000,1.183,7.886,11.548,2682.495
12,2022-05-09 10:18:14.962000,1.48,8.101,10.478,2690.735
13,2022-05-09 10:18:14.991000,1.722,8.12,10.764,2662.354
