,0,1,2,3,4
0,time,position,velocity,current,rpm
1,2022-05-09 10:35:37.348000,-0.028,0.03,8.879,54.932
2,2022-05-09 10:35:37.377000,-0.023,0.382,18.215,237.122
3,2022-05-09 10:35:37.407000,-0.004,1.043,22.269,495.3
4,2022-05-09 10:35:37.441000,0.042,1.888,23.095,790.1
5,2022-05-09 10:35:37.482000,0.148,3.184,24.223,1188.355
6,2022-05-09 10:35:37.514000,0.254,3.984,23.413,1513.367
7,2022-05-09 10:35:37.549000,0.41,5.005,25.689,1853.943
8,2022-05-09 10:35:37.581000,0.583,5.921,24.859,2145.996
9,2022-05-09 10:35:37.613000,0.779,6.777,26.488,2389.527
10,2022-05-09 10:35:37.645000,1.017,7.561,16.617,2601.013
11,2022-05-09 10:35:37.676000,1.256,7.941,11.388,2707.215
12,2022-05-09 10:35:37.704000,1.504,8.059,6.549,2673.34
13,2022-05-09 10:35:37.736000,1.742,8.153,11.989,2708.13
