,0,1,2,3,4
0,time,position,velocity,current,rpm
1,2022-05-09 10:24:14.256000,-0.019,0.028,7.447,42.114
2,2022-05-09 10:24:14.290000,-0.016,0.366,17.425,241.699
3,2022-05-09 10:24:14.322000,0.006,1.092,21.846,512.695
4,2022-05-09 10:24:14.356000,0.054,2.0,24.684,832.214
5,2022-05-09 10:24:14.401000,0.142,3.296,22.512,1257.019
6,2022-05-09 10:24:14.432000,0.288,4.136,24.746,1556.397
7,2022-05-09 10:24:14.462000,0.431,5.033,24.299,1852.112
8,2022-05-09 10:24:14.494000,0.606,5.96,23.854,2143.25
9,2022-05-09 10:24:14.524000,0.798,6.821,22.33,2399.597
10,2022-05-09 10:24:14.641000,1.016,7.556,16.851,2619.324
