,0,1,2,3,4
0,time,position,velocity,current,rpm
1,2022-05-09 10:34:08.779000,-0.014,0.028,9.015,49.438
2,2022-05-09 10:34:08.808000,-0.009,0.393,18.196,234.375
3,2022-05-09 10:34:08.842000,0.014,1.139,21.755,521.851
4,2022-05-09 10:34:08.872000,0.06,1.962,22.926,800.171
5,2022-05-09 10:34:08.913000,0.158,3.126,22.754,1185.608
6,2022-05-09 10:34:08.945000,0.267,4.02,23.987,1494.141
7,2022-05-09 10:34:08.978000,0.407,4.923,24.307,1825.562
8,2022-05-09 10:34:09.008000,0.582,5.836,24.218,2113.953
9,2022-05-09 10:34:09.105000,0.768,6.662,9.239,2706.299
10,2022-05-09 10:34:09.119000,1.464,8.029,8.528,2675.171
11,2022-05-09 10:34:09.133000,1.573,8.059,12.217,2672.425
12,2022-05-09 10:34:09.148000,1.694,8.062,7.94,2715.454
13,2022-05-09 10:34:09.163000,1.817,7.751,14.527,2682.495
