,0,1,2,3,4
0,time,position,velocity,current,rpm
1,2022-05-09 10:59:00.462000,-0.052,0.036,6.793,75.073
2,2022-05-09 10:59:00.491000,-0.046,0.567,10.316,154.724
3,2022-05-09 10:59:00.521000,-0.028,0.933,22.532,424.805
4,2022-05-09 10:59:00.554000,0.009,1.684,26.232,699.463
5,2022-05-09 10:59:00.596000,0.101,2.886,28.137,1125.183
6,2022-05-09 10:59:00.627000,0.208,3.764,30.049,1410.828
7,2022-05-09 10:59:00.662000,0.34,4.727,26.496,1755.982
8,2022-05-09 10:59:00.694000,0.508,5.751,24.408,2051.697
9,2022-05-09 10:59:00.725000,0.707,6.675,23.078,2381.287
10,2022-05-09 10:59:00.759000,0.942,7.515,20.855,2619.324
11,2022-05-09 10:59:00.792000,1.198,7.927,7.384,2673.34
12,2022-05-09 10:59:00.825000,1.465,8.117,9.159,2716.37
13,2022-05-09 10:59:00.857000,1.74,8.109,8.752,2698.059
