,0,1,2,3,4,5,6,7
0,(delayy)(C1) waiting,,,,,,,
1,(delayy)(C1) waiting,,,,,,,
2,(delayy)(C1) waiting,,,,,,,
3,(delayy)(C1) waiting,,,,,,,
4,(delayy)(C1) waiting,,,,,,,
5,3894,0.000000,-0.014661,0.000000,-0.222532,1.887937,9.748360,"0.000000"
6,6789,0.000000,-0.012217,-0.002443,-0.212961,1.885544,9.753145,"0.000000"
7,9593,0.000000,-0.014661,-0.002443,-0.212961,1.890330,9.745967,"0.000000"
8,12614,0.000000,-0.012217,-0.002443,-0.220140,1.887937,9.753145,"0.000000"
9,15595,-0.002443,-0.012217,0.000000,-0.220140,1.859223,9.724432,"0.000000"
10,18598,-0.002443,-0.012217,-0.002443,-0.217747,1.868794,9.743573,"0.000000"
11,21598,0.002443,-0.009774,-0.004887,-0.229711,1.899901,9.767502,"0.000000"
12,24599,-0.002443,-0.012217,-0.004887,-0.198604,1.914258,9.781858,"0.000000"
13,27600,0.002443,-0.012217,-0.002443,-0.200997,2.076970,9.918250,"0.000000"
14,30600,0.002443,-0.004887,-0.002443,-0.160319,2.443072,10.277173,"0.000000"
15,33601,0.012217,0.002443,-0.004887,0.215354,3.558127,11.258230,"0.000000"
16,36602,0.046426,-0.024435,-0.007330,0.586242,4.031906,11.621940,"0.000000"
17,39621,0.083078,-0.056200,-0.021991,0.887737,4.541577,11.724831,"0.000000"
18,42619,0.124617,-0.053756,-0.036652,1.959722,7.965706,15.421743,"0.000000"
19,45607,0.256563,0.017104,-0.080634,2.301895,11.076376,18.372091,"0.000000"
20,48608,0.422719,0.095295,-0.151495,2.732604,13.603197,20.693130,"0.000000"
21,51611,0.579100,0.195477,-0.227242,1.643869,16.213766,23.124239,"0.000000"
22,54611,0.737925,0.515570,-0.310320,-0.789632,15.577276,21.384655,"0.000000"
23,57612,0.813672,0.740369,-0.300546,-2.593820,16.756937,21.482761,"0.000000"
24,60613,0.847881,0.762360,-0.229685,-1.318445,15.586846,17.450855,"0.000000"
25,63616,1.111775,-0.354302,-0.083078,0.043071,15.397814,17.563318,"0.000000"
26,66616,1.339017,-0.598648,-0.151495,1.758725,16.718653,18.573090,"0.000000"
27,69617,1.495398,-0.395841,-0.200364,-0.634098,16.295122,18.482162,"0.000000"
28,72618,1.678658,0.119730,-0.234572,-0.763310,24.390041,16.539192,"0.000000"
29,75651,1.754405,0.266337,-0.224798,0.009571,27.577282,18.845871,"0.000000"
30,78630,1.979203,0.180816,-0.222355,-1.208375,25.395027,13.426128,"0.000000"
31,81624,1.903456,-0.068417,-0.124617,-1.744368,19.798214,10.054641,"0.000000"
32,84625,1.952325,0.158825,-0.058643,-0.660419,23.315666,6.314659,"0.000000"
33,87626,2.003638,0.471588,-0.043982,2.481357,26.761328,9.016156,"0.000000"
34,90627,2.265088,-0.388510,-0.092852,1.562513,27.498318,6.721439,"0.000000"
35,93628,2.282193,-0.417832,-0.234572,0.787239,25.557737,5.876772,"0.000000"
36,96629,2.162463,-0.215025,-0.302989,-0.662812,26.065018,1.653440,"0.000000"
37,99630,1.971873,-0.048869,-0.271224,1.292124,27.823740,2.797210,"0.000000"
38,102631,1.971873,0.026878,-0.119730,-0.806381,28.742586,2.072184,"0.000000"
39,105632,2.037846,0.241903,-0.122173,2.356930,31.022945,2.782853,"0.000000"
40,108634,1.881465,0.080634,-0.212581,2.892923,30.297922,-0.136391,"0.000000"
41,111655,1.808161,0.068417,-0.280998,3.644269,30.479774,-0.679562,"0.000000"
42,114641,1.722640,0.124617,-0.390954,1.916651,29.673393,-3.991228,"0.000000"
43,117639,1.549154,0.161268,-0.388510,0.368495,29.089544,-4.809574,"0.000000"
44,120641,1.419651,0.200364,-0.376293,-1.272982,30.546774,-3.914658,"0.000000"
45,122313,1.419651,0.200364,-0.376293,-1.272982,30.546774,-3.914658,"0.000000"
46,125313,12.874596,-80.035561,65.992989,39.199219,58.387264,8.236095,"0.000000"
47,128313,12.874596,-80.035561,65.992989,39.199219,65.565735,8.236095,"0.000000"
48,131314,12.913692,-80.035561,65.992989,39.199219,72.744202,8.236095,"0.000000"
49,134317,12.913692,-80.035561,65.992989,39.199219,-76.890968,8.236095,"0.000000"
50,138653,0.779464,-0.065973,-0.378736,0.540778,32.551960,-4.974678,"0.000000"
51,141670,0.605978,0.119730,-0.376293,0.818345,33.178879,-5.367101,"0.000000"
52,143326,0.605978,0.119730,-0.376293,0.818345,33.178879,-5.367101,"0.000000"
53,147653,0.366519,0.217468,-0.427606,-1.328017,37.471603,-10.025927,"0.000000"
54,149326,0.366519,0.217468,-0.427606,-1.328017,37.471603,-10.025927,"0.000000"
55,152326,12.913692,-80.035561,65.992989,39.199219,0.002393,0.000000,"0.000000"
56,155325,12.913692,-80.035561,65.992989,39.199219,0.002393,0.000000,"0.000000"
57,158326,12.874596,-80.035561,65.992989,39.199219,-19.465612,8.236095,"0.000000"
58,161328,12.913692,-80.035561,65.992989,39.199219,0.002393,0.000000,"0.000000"
59,165662,-5.656612,1.815491,-0.620639,0.512064,19.798214,6.001199,"0.000000"
60,168666,-3.897320,2.932153,-0.102625,-8.690731,-2.270789,36.445084,"0.000000"
61,171675,-0.994489,2.863736,0.505796,-16.943579,-11.069198,14.266008,"0.000000"
62,174733,-0.344528,2.944370,1.062906,-13.172488,2.608176,-16.273586,"0.000000"
63,177724,-0.847881,0.952950,0.972497,-25.332815,11.806187,-53.091949,"0.000000"
64,180673,-3.489262,-0.474031,-0.092852,0.701097,15.491134,-49.418964,"0.000000"
65,182800,-0.024923,-0.003386,-0.000663,0.701097,15.491134,-49.418964,"0.000000"
66,186782,-0.028414,-0.001501,-0.003560,-118.143227,35.882767,-156.796875,"0.000000"
67,189777,-0.015900,0.007348,-0.003944,127.858086,-42.558746,-156.796875,"0.000000"
68,192778,-0.005637,-0.010001,-0.008378,13.131810,5.570491,60.337418,"0.000000"
69,195778,-0.019251,-0.023265,-0.011135,12.729816,25.158136,-19.602003,"0.000000"
70,198781,-0.033702,-0.002251,-0.001501,15.146567,14.998212,-3.689733,"0.000000"
71,201782,-0.043267,0.001396,-0.000035,6.790831,2.766103,28.565517,"0.000000"
72,204784,-0.031468,0.017418,-0.004032,6.216553,-2.675175,51.211189,"0.000000"
73,207786,-0.010123,0.030264,-0.002932,5.417351,-9.652646,63.137020,"0.000000"
74,210780,-0.003299,0.010158,0.001484,6.297909,-9.183653,31.891539,"0.000000"
75,213792,-0.002409,-0.003875,-0.001187,-6.096912,-3.431308,-0.861416,"0.000000"
76,216789,-0.019164,-0.003700,-0.004643,-8.532805,2.766103,-12.997812,"0.000000"
77,219791,-0.026180,0.001431,-0.000087,-11.169696,6.800402,7.652247,"0.000000"
78,222875,-0.006842,0.029182,-0.003211,-1.718047,7.867601,39.926640,"0.000000"
79,225776,0.011833,0.023684,-0.003944,8.336594,21.114265,104.015999,"0.000000"
80,228773,-0.000541,0.006475,-0.002915,-11.322837,17.773888,132.782516,"0.000000"
81,231774,-0.001152,0.006667,-0.008011,1.182054,3.182454,27.354748,"0.000000"
82,234779,0.000977,0.010716,-0.008029,-15.806986,1.359123,20.142780,"0.000000"
83,237474,-0.001606,-0.005201,-0.003368,-2.220540,2.502892,-44.831924,"0.000000"
84,240800,-0.010367,-0.002391,0.002251,5.130211,3.723232,-24.081367,"0.000000"
85,243790,-0.007365,0.016877,-0.001850,-9.312866,-3.196811,-2.402394,"0.000000"
86,246789,0.001100,0.005742,0.001065,-9.533006,-8.508877,22.564316,"0.000000"
87,249790,0.007470,0.002880,0.001937,-10.427922,-1.890330,24.086153,"0.000000"
88,252792,0.017069,0.016860,0.007191,-14.931214,-5.029713,15.089141,"0.000000"
89,255788,0.009669,-0.029653,0.005027,-13.217952,2.277967,-28.115665,"0.000000"
90,258789,0.001763,-0.031835,-0.004259,7.025328,6.431907,-33.355949,"0.000000"
91,261791,-0.007453,-0.004451,-0.010524,16.553547,8.791230,-10.485349,"0.000000"
92,264793,-0.003665,0.011606,-0.010821,10.901700,0.459422,13.418950,"0.000000"
93,267793,0.005480,0.007994,-0.003159,8.202596,-4.326224,22.013969,"0.000000"
94,270794,0.001030,-0.000977,0.000017,6.853044,-4.948358,11.006985,"0.000000"
95,273799,0.001082,0.004154,-0.002723,-2.522035,-1.904687,5.211568,"0.000000"
96,276831,-0.000995,0.000820,-0.005655,-6.393622,0.803988,-3.010171,"0.000000"
97,279795,-0.006702,-0.001169,-0.001902,-1.134198,0.349352,1.684547,"0.000000"
98,282802,-0.002950,-0.006318,-0.002321,1.268196,-0.488136,22.090538,"0.000000"
99,285802,-0.003194,-0.006021,-0.004555,-2.746960,-9.178868,25.651058,"0.000000"
100,288802,-0.000454,0.004800,-0.003665,1.761117,-10.313066,20.578274,"0.000000"
101,291802,0.004939,0.005533,-0.003159,-3.885944,-10.073783,15.854843,"0.000000"
102,294802,-0.002321,0.011502,0.002601,0.780060,-32.815170,18.108883,"0.000000"
103,297804,-0.009983,0.019286,0.006545,-5.967700,-51.187263,3.077170,"0.000000"
104,300805,-0.004468,0.011188,0.010158,-8.767302,-41.611187,-3.345166,"0.000000"
105,303808,-0.004136,-0.009721,0.005934,-10.710275,-27.450460,-0.100499,"0.000000"
106,306810,-0.007034,-0.009163,0.003892,-13.074384,-16.845470,12.452249,"0.000000"
107,309873,-0.004032,-0.010140,0.001798,-11.461620,-10.155140,14.055441,"0.000000"
108,312830,-0.002688,-0.019356,-0.002478,14.725430,-13.552947,17.209179,"0.000000"
