t,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
284286,-0.200364,-0.493579,-0.00733,2.029114,30.838699,5.331209
287289,-0.012217,-0.146608,0.061087,3.838088,36.648472,12.313466
290290,0.227242,0.156382,0.00733,-4.302295,31.192837,7.130611
293291,0.171042,0.735482,-0.315206,-4.053442,28.18745,3.737589
296293,0,0.427606,-0.271224,1.636691,27.905098,1.177269
299294,0.024435,-0.224798,-0.124617,-3.909872,29.221149,3.503092
302297,0.046426,0.415388,0.048869,-2.469393,30.40799,6.336195
305299,0.014661,-0.285885,-0.017104,1.268196,30.628128,7.293324
308300,0.156382,-0.654848,-0.034208,-1.249053,29.685358,6.034699
311302,0.11973,0.180816,0.009774,-1.971686,30.403204,5.173283
314302,-0.002443,0.163712,-0.029322,-2.636891,25.598415,-6.455835
317304,-0.036652,-0.144164,-0.004887,-1.177269,24.91407,-7.178468
320305,-0.046426,-0.359189,0.039095,6.082555,38.959938,16.63969
323306,-0.112399,-0.193033,-0.012217,-2.526821,28.072594,-3.89073
326308,-0.07086,0.087965,-0.024435,5.958128,29.910284,3.756732
329309,0.024435,-0.840551,-0.141721,6.45105,39.43372,16.60619
332323,0.00733,0.342085,-0.141721,-2.876173,30.541988,3.900301
335316,0.019548,0.950506,-0.149051,0.947558,23.004595,-4.991428
338317,-0.478918,-0.95295,-0.012217,9.772288,32.55196,10.470992
341317,-0.276111,-1.148427,0.048869,6.025128,39.591644,19.267008
344320,0.100182,0.268781,-0.048869,-6.293124,30.22135,16.309479
347331,0.07086,0.630413,-0.427606,4.04387,30.269207,12.040684
350332,0.229685,-0.69883,-0.178373,3.163311,27.866812,7.618747
353333,0.129503,0.017104,0.0562,-1.095913,26.574688,0.894916
356334,0.061087,-0.410501,-0.039095,4.474578,30.513275,3.684947
359338,0.024435,-0.992045,-0.080634,1.311267,28.407591,4.766503
362338,-0.041539,-0.207694,-0.083078,5.843273,34.356148,17.314465
365341,0.354302,-0.239459,-0.227242,4.613362,39.673,19.783857
368346,0.481362,0.285885,-0.320093,-5.766702,31.810186,9.504292
371347,0.354302,1.060462,-0.320093,1.564906,24.449863,-5.149354
374346,0.073304,-1.119105,0.068417,2.07697,26.71826,-3.885944
377348,0.087965,-0.522901,0.085521,-1.823331,28.115665,-0.559921
380348,0.097738,0.234572,-0.586431,1.502692,32.250465,12.064612
383349,0.237016,-0.237016,-0.263894,-0.540778,35.925838,13.921442
386352,0.510683,0.447153,-0.32498,-4.804788,39.271008,17.032112
389353,0.476475,0.948063,-0.386067,-3.622734,29.584858,3.627519
392353,0.256563,-0.259007,-0.051313,-4.508078,29.824142,0.315853
395355,0.080634,-0.090408,0.153938,-3.952943,23.401806,-4.924429
398356,-0.00733,-0.493579,0.19059,2.033899,25.024139,-0.473779
401357,0.034208,-0.478918,0.141721,1.0002,31.125837,9.824929
404358,0.207694,-0.25412,0.0562,3.053242,37.06004,14.534005
407359,0.288328,-0.447153,-0.224798,-8.379665,30.853054,5.469993
410362,0.156382,1.34879,-0.378736,-5.680561,23.210381,0.382852
413364,0,0.009774,-0.195477,0.33021,31.240694,-1.59362
416366,-0.085521,-0.469144,0.043982,-2.689533,16.204195,-7.896315
419368,-0.83322,0.117286,0.364076,0.224925,10.585848,-17.91267
422375,-0.755029,-0.554666,0.454484,0.713061,18.228523,-4.469792
425371,-0.432493,-0.906524,0.51557,-5.517849,44.458645,19.960926
428374,-0.07086,0.356745,0.256563,1.875973,92.157173,99.340431
431373,0.083078,1.187522,-0.259007,-14.735002,3.158526,-57.059246
434375,-0.021991,-0.561996,-0.25412,-2.660819,-31.546974,-124.02478
437374,-11.836125,-0.285885,-0.676839,32.360535,57.963737,83.849289
440377,-10.294301,4.158771,0.564439,-47.143391,-88.520081,-42.070606
