time,position,velocity,current,rpm
51:10.4,0.001,0.036,6.581,64.087
51:10.4,0.007,0.479,13.867,297.546
51:10.5,0.039,1.376,20.836,572.205
51:10.5,0.098,2.207,23.286,854.187
51:10.5,0.208,3.247,26.628,1269.837
51:10.6,0.32,4.193,23.996,1581.116
51:10.6,0.467,5.22,23.086,1864.014
51:10.6,0.632,5.957,25.707,2193.604
51:10.7,0.867,7,25.6,2451.782
51:10.7,1.091,7.611,14.611,2609.253
51:10.7,1.349,7.952,11.263,2691.651
51:10.8,1.575,8.114,9.04,2709.046
51:10.8,1.83,8.059,7.364,2718.201
