time,position,velocity,current,rpm
16:40:01,0.011,0.039,-8.141,51.27
16:40:01,0.015,0.344,-17.352,230.713
16:40:01,0.034,1.002,-20.154,468.75
16:40:01,0.075,1.805,-21.586,743.408
16:40:01,0.164,2.853,-24.351,1270.752
16:40:01,0.331,4.224,-24.492,1560.059
16:40:01,0.461,5.071,-22.629,1815.491
16:40:01,0.616,5.847,-25.336,2089.234
16:40:01,0.786,6.626,-23.27,2296.143
16:40:01,0.969,7.292,-23.637,2571.717
16:40:01,1.184,8.098,-23.568,2804.26
16:40:01,1.359,8.596,-19.918,2917.786
16:40:01,1.509,8.89,-13.33,2974.549
16:40:01,1.676,9.064,-7.971,3024.903
16:40:01,1.831,9.113,-12.226,3045.96
