time,position,velocity,current,rpm
16:46:11,0,0.041,-12.023,100.708
16:46:11,0.007,0.523,-18.128,259.094
16:46:11,0.023,1.018,-20.019,430.298
16:46:11,0.048,1.533,-21.916,607.91
16:46:11,0.106,2.35,-23.101,888.977
16:46:11,0.157,2.911,-24.69,1068.421
16:46:11,0.224,3.58,-22.511,1408.081
16:46:11,0.358,4.499,-22.105,1609.497
16:46:11,0.465,5.344,-24.41,1883.24
16:46:11,0.633,5.913,-23.704,2065.43
16:46:11,0.764,6.609,-22.834,2350.159
16:46:11,0.976,7.333,-26.151,2534.18
16:46:11,1.124,7.949,-24.623,2753.906
16:46:11,1.301,8.549,-22.765,2944.336
16:46:11,1.476,9.091,-23.187,3129.273
16:46:11,1.696,9.642,-21.083,3263.855
