time,position,velocity,current,rpm
14:29:37,-0.018,0,-2.525,5.493
14:29:37,-0.018,0.069,-8.816,34.79
14:29:37,-0.016,0.165,-13.246,97.046
14:29:37,-0.013,0.385,-15.929,162.048
14:29:37,0.01,1.081,-20.964,465.088
14:29:37,0.039,1.678,-23.224,656.433
14:29:37,0.081,2.298,-22.699,869.751
14:29:37,0.141,2.864,-25.107,1083.069
14:29:38,0.216,3.577,-25.153,1311.951
14:29:38,0.314,4.259,-23.637,1560.974
14:29:38,0.424,4.953,-24.731,1757.813
14:29:38,0.54,5.558,-24.476,1948.242
14:29:38,0.668,6.183,-25.445,2199.097
14:29:38,0.826,6.895,-27.778,2410.584
14:29:38,0.984,7.46,-24.024,2638.55
14:29:38,1.179,8.249,-25.946,2852.783
14:29:38,1.41,8.764,-15.47,2976.38
14:29:38,1.629,9.053,-10.391,3020.325
14:29:38,1.86,9.02,-8.743,3087.158
