2022-04-11 17:34:52,763, [INFO], catapult, position:0.012, velocity: 00.000, current: -06.587, mechpower:0000.124, power:0000.546, rpm:0055.847
2022-04-11 17:34:52,793, [INFO], catapult, position:0.018, velocity: 00.393, current: -16.674, mechpower:0003.146, power:0005.062, rpm:0234.375
2022-04-11 17:34:52,824, [INFO], catapult, position:0.037, velocity: 01.032, current: -20.432, mechpower:0014.579, power:0019.818, rpm:0418.396
2022-04-11 17:34:52,854, [INFO], catapult, position:0.079, velocity: 01.907, current: -23.534, mechpower:0033.280, power:0044.503, rpm:0731.506
2022-04-11 17:34:52,965, [INFO], catapult, position:0.172, velocity: 03.035, current: -14.009, mechpower:0114.200, power:0147.778, rpm:1940.003
2022-04-11 17:34:52,976, [INFO], catapult, position:0.591, velocity: 05.627, current: -22.780, mechpower:0122.398, power:0161.480, rpm:1809.998
2022-04-11 17:34:52,987, [INFO], catapult, position:0.651, velocity: 05.897, current: -21.595, mechpower:0140.605, power:0182.983, rpm:2041.626
2022-04-11 17:34:52,997, [INFO], catapult, position:0.716, velocity: 06.403, current: -17.009, mechpower:0147.746, power:0191.778, rpm:2200.012
2022-04-11 17:34:53,008, [INFO], catapult, position:0.788, velocity: 06.862, current: -14.617, mechpower:0150.184, power:0194.430, rpm:2318.115
2022-04-11 17:34:53,019, [INFO], catapult, position:0.858, velocity: 07.157, current: -14.704, mechpower:0151.604, power:0196.610, rpm:2446.289
2022-04-11 17:34:53,029, [INFO], catapult, position:0.941, velocity: 07.542, current: -14.527, mechpower:0150.992, power:0196.787, rpm:2553.406
2022-04-11 17:34:53,039, [INFO], catapult, position:1.022, velocity: 07.812, current: -12.136, mechpower:0149.814, power:0193.958, rpm:2675.171
2022-04-11 17:34:53,069, [INFO], catapult, position:1.181, velocity: 08.037, current: -07.232, mechpower:0131.271, power:0170.948, rpm:2693.482
2022-04-11 17:34:53,080, [INFO], catapult, position:1.352, velocity: 08.164, current: -03.542, mechpower:0106.228, power:0138.098, rpm:2722.779
2022-04-11 17:34:53,092, [INFO], catapult, position:1.443, velocity: 08.189, current: -04.169, mechpower:0094.642, power:0123.986, rpm:2746.582
2022-04-11 17:34:53,104, [INFO], catapult, position:1.536, velocity: 08.142, current: -05.336, mechpower:0082.970, power:0109.595, rpm:2709.046
2022-04-11 17:34:53,112, [INFO], catapult, position:1.625, velocity: 08.211, current: -04.678, mechpower:0077.453, power:0102.513, rpm:2725.525
2022-04-11 17:34:53,122, [INFO], catapult, position:1.694, velocity: 08.191, current: -02.725, mechpower:0070.856, power:0093.148, rpm:2722.779
2022-04-11 17:34:53,133, [INFO], catapult, position:1.772, velocity: 08.145, current: -06.492, mechpower:0068.372, power:0091.112, rpm:2719.116
2022-04-11 17:34:53,141, [INFO], catapult, position:1.864, velocity: 08.244, current: -03.473, mechpower:0064.045, power:0086.396, rpm:2703.552
