time,position,velocity,current,rpm
12:33:00,-0.015,0,-3.861,17.395
12:33:00,-0.014,0.091,-10.816,51.27
12:33:00,-0.012,0.256,-15.037,118.103
12:33:00,-0.007,0.471,-17.521,195.007
12:33:00,0.008,0.947,-19.708,367.126
12:33:00,0.021,1.288,-22.97,531.921
12:33:00,0.056,1.89,-21.976,726.929
12:33:00,0.103,2.504,-21.568,936.585
12:33:00,0.171,3.23,-21.085,1183.777
12:33:00,0.25,3.803,-22.529,1393.433
12:33:00,0.346,4.524,-24.577,1615.906
12:33:00,0.464,5.231,-22.582,1838.379
12:33:00,0.584,5.778,-23.905,2044.373
12:33:00,0.723,6.48,-23.085,2243.958
12:33:00,0.884,7.121,-25.43,2468.262
12:33:00,1.053,7.732,-24.913,2673.34
12:33:01,1.238,8.365,-25.391,2871.094
12:33:01,1.42,8.965,-26.261,3091.736
12:33:01,1.642,9.603,-20.152,3247.376
12:33:01,1.882,9.941,-14.482,3388.367
