time,position,velocity,current,rpm
13:47:01,-0.026,0.058,-7.738,75.073
13:47:01,-0.019,0.622,-13.587,208.74
13:47:01,-0.001,0.963,-21.841,472.412
13:47:02,0.04,1.8,-24.041,718.689
13:47:02,0.125,2.826,-25.518,1117.859
13:47:02,0.216,3.706,-22.86,1388.855
13:47:02,0.334,4.518,-23.927,1647.949
13:47:02,0.467,5.291,-25.645,1918.945
13:47:02,0.62,6.018,-24.119,2136.841
13:47:02,0.788,6.752,-24.413,2377.625
13:47:02,0.969,7.556,-24.914,2637.635
13:47:02,1.196,8.277,-26.905,2866.516
13:47:02,1.451,8.923,-12.878,2994.69
13:47:02,1.719,9.077,-9.781,3013.001
