time,position,velocity,current,rpm
30:22.0,-0.017,0.052,10.172,63.171
30:22.0,-0.011,0.473,19.993,297.546
30:22.0,0.016,1.244,22.848,515.442
30:22.1,0.049,1.805,24.749,671.997
30:22.1,0.103,2.485,24.686,898.132
30:22.1,0.136,2.87,22.786,1022.644
30:22.1,0.173,3.159,24.729,1115.112
30:22.1,0.213,3.522,24.939,1217.651
30:22.1,0.254,3.855,23.369,1335.755
30:22.1,0.298,4.166,23.192,1437.378
30:22.1,0.349,4.466,24.421,1531.677
30:22.2,0.398,4.763,24.943,1656.189
30:22.2,0.455,5.11,25.078,1773.377
30:22.2,0.517,5.448,24.887,1854.859
30:22.2,0.579,5.723,27.359,1976.624
30:22.2,0.649,6.084,25.245,2092.896
30:22.2,0.73,6.428,25.621,2202.759
30:22.2,0.815,6.78,26.778,2307.129
30:22.2,0.901,7.096,27.333,2415.161
30:22.3,0.996,7.438,23.331,2533.264
30:22.3,1.089,7.671,18.057,2591.858
30:22.3,1.194,7.894,13.211,2619.324
30:22.3,1.293,7.944,14.045,2663.269
30:22.3,1.391,8.065,10.152,2667.847
30:22.3,1.506,8.068,9.84,2712.708
30:22.3,1.612,8.004,11.492,2677.918
30:22.3,1.714,8.076,9.862,2604.676
30:22.4,1.811,8.087,10.623,2702.637
