time,position,velocity,current,rpm
33:46.7,-0.033,0.028,6.403,50.354
33:46.7,-0.028,0.382,17.875,247.192
33:46.8,-0.007,1.092,21.766,494.385
33:46.8,0.036,1.868,24.608,770.874
33:46.8,0.133,3.035,25.497,1155.396
33:46.9,0.24,3.932,23.568,1451.111
33:46.9,0.365,4.727,24.009,1724.854
33:46.9,0.524,5.572,25.826,2015.076
33:46.9,0.705,6.485,25.733,2300.72
33:47.0,0.912,7.278,24.248,2552.49
33:47.0,1.139,7.831,13.404,2651.367
33:47.0,1.38,8.079,9.177,2682.495
33:47.1,1.625,8.098,9.936,2661.438
33:47.1,1.848,8.112,7.551,2753.906
