time,position,velocity,current,rpm
17:34:53,0.012,0,-6.587,55.847
17:34:53,0.018,0.393,-16.674,234.375
17:34:53,0.037,1.032,-20.432,418.396
17:34:53,0.079,1.907,-23.534,731.506
17:34:53,0.172,3.035,-14.009,1940.003
17:34:53,0.591,5.627,-22.78,1809.998
17:34:53,0.651,5.897,-21.595,2041.626
17:34:53,0.716,6.403,-17.009,2200.012
17:34:53,0.788,6.862,-14.617,2318.115
17:34:53,0.858,7.157,-14.704,2446.289
17:34:53,0.941,7.542,-14.527,2553.406
17:34:53,1.022,7.812,-12.136,2675.171
17:34:53,1.181,8.037,-7.232,2693.482
17:34:53,1.352,8.164,-3.542,2722.779
17:34:53,1.443,8.189,-4.169,2746.582
17:34:53,1.536,8.142,-5.336,2709.046
17:34:53,1.625,8.211,-4.678,2725.525
17:34:53,1.694,8.191,-2.725,2722.779
17:34:53,1.772,8.145,-6.492,2719.116
17:34:53,1.864,8.244,-3.473,2703.552
