t,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
6352,0,-0.014661,-0.002443,-0.071785,1.914258,9.74836
9232,0.002443,-0.012217,-0.002443,-0.086142,1.914258,9.743573
12296,0,-0.012217,0,-0.066999,1.904687,9.74836
15226,-0.002443,-0.014661,-0.002443,-0.071785,1.909473,9.743573
18232,0,-0.012217,-0.002443,-0.071785,1.904687,9.74836
21251,0,-0.012217,-0.002443,-0.066999,1.928615,9.743573
24640,-0.002443,-0.012217,-0.002443,-0.047856,1.919044,9.757931
29760,0.002443,-0.012217,-0.002443,-0.052642,1.909473,9.767502
32620,0,-0.014661,-0.002443,-0.100499,1.904687,9.753145
35622,0,-0.014661,-0.002443,-0.081356,1.909473,9.767502
38623,0.004887,-0.014661,-0.002443,-0.081356,1.923829,9.753145
41624,0,-0.014661,-0.002443,-0.07657,1.928615,9.777073
44627,0,-0.012217,-0.002443,-0.07657,1.919044,9.767502
47630,0,-0.012217,-0.002443,-0.062213,1.904687,9.772288
50630,0.002443,-0.012217,-0.002443,-0.066999,1.904687,9.772288
53630,0,-0.014661,0,-0.090927,1.909473,9.757931
56632,0,-0.012217,0,-0.07657,1.914258,9.753145
59636,0.002443,-0.014661,-0.002443,-0.07657,1.895116,9.753145
62637,0,-0.012217,-0.002443,-0.081356,1.899901,9.753145
65638,0.002443,-0.014661,-0.004887,-0.114855,1.919044,9.753145
68638,0,-0.012217,0,-0.066999,1.909473,9.767502
71638,0.004887,-0.012217,0,-0.071785,1.895116,9.743573
74640,0,-0.009774,-0.002443,-0.038285,2.344966,10.049855
77643,0.009774,-0.012217,-0.004887,0.200997,3.053242,10.604989
81132,0.026878,-0.031765,-0.004887,0.674776,4.130012,11.499907
84036,0.051313,-0.029322,-0.017104,2.115255,5.986843,12.935598
86983,0.13439,-0.06353,-0.036652,2.545963,6.9344,13.859229
89988,0.180816,-0.031765,-0.087965,1.383052,7.79103,16.558332
93015,0.227242,0.329867,-0.144164,1.875973,14.711074,20.114067
96372,0.434936,0.339641,-0.166155,2.928815,16.007984,22.143181
99222,0.540005,0.442266,-0.18326,1.751546,17.721245,22.837099
102291,0.777021,0.339641,-0.31765,-2.397608,17.922243,20.405993
105223,0.904081,0.263894,-0.356745,-3.885944,18.046667,20.080568
108232,0.918741,0.039095,-0.266337,-1.842474,20.64049,16.027126
111225,1.121549,-0.535118,-0.058643,-0.861416,22.229322,16.644474
114246,1.172861,-0.527788,-0.021991,0.177069,21.272194,14.170296
117301,1.263269,-0.393397,-0.041539,-0.732204,21.487549,10.145568
120231,1.326799,-0.327424,-0.100182,1.684547,22.91367,8.982656
123249,1.282817,-0.302989,-0.117286,2.435893,23.272594,5.704489
126233,1.229061,-0.232129,-0.151495,2.440679,29.020153,6.226124
129235,1.167974,0.781907,-0.166155,-0.646062,30.259634,9.571291
132246,1.026254,0.64263,-0.100182,-0.646062,22.32025,9.111869
135240,0.747699,-0.307876,-0.00733,7.278966,0.038285,-6.297909
138243,0.061087,-0.906524,0.065973,2.59382,3.498307,-5.201997
141245,-0.0562,-0.06353,0.058643,1.014557,2.699104,-1.454836
144247,-0.048869,0.544892,0.012217,-4.335794,3.421736,0.799203
147248,0.625526,0.229685,-0.002443,16.730616,76.546402,50.890556
150250,1.624902,0.632856,-0.62797,4.268795,83.284584,67.511101
153252,3.335324,1.473407,-0.82589,-1.909473,8.642875,23.339592
156254,0.337198,-0.576657,-0.45204,-4.9675,42.5396,-31.819757
159256,1.854587,-0.921185,0.19792,2.545963,-20.941984,-16.476976
162259,0.764803,-0.569326,0.354302,-11.696117,34.427933,-15.314064
165261,2.003638,1.329243,0.664621,1.258625,98.98629,40.505703
168263,2.924823,-0.586431,0.32498,7.700103,43.597229,13.481163
171265,1.935221,-3.144734,-0.405614,-6.580262,28.594231,-7.427322
174267,0.004887,1.544267,-0.755029,-1.416551,64.012794,19.707287
177270,1.226617,1.514946,-0.488692,2.07697,58.877796,20.252851
180272,1.27793,0.280998,-0.156382,1.622334,2.225325,-34.648075
183275,-0.087965,-1.639562,0.112399,1.842474,31.767113,-22.492533
186276,-0.19792,-0.026878,0.205251,-2.081756,51.431332,-0.947558
189279,0.488692,0.855211,0.268781,-0.736989,23.545376,-8.006385
192282,-0.11973,-0.615752,-0.105069,-6.259624,9.188439,-28.756943
195283,-1.094671,-0.224798,-0.234572,-6.618547,6.695118,-13.777873
198288,-1.27793,0.945619,-0.31032,-9.389436,43.554161,19.032513
201289,0.894307,2.177124,0.048869,0.354138,55.886768,29.580074
204290,0.625526,-1.033584,-0.014661,8.518449,39.878784,4.421937
207292,0.11973,-2.998127,-0.18326,2.153541,39.634716,4.555934
210293,0.136834,0.838107,-0.586431,3.742374,42.185463,7.800602
213294,0.068417,0.818559,-0.601091,7.642675,34.423149,0.129212
216300,-0.403171,-0.720821,-0.57177,-3.287739,24.311079,-2.991028
219308,-0.532674,0.293215,-0.378736,-6.48455,32.743385,2.048256
222299,-0.244346,0.693943,-0.129503,-6.379266,32.580673,-0.512064
226192,-0.307876,0.092852,0.105069,-6.9679,30.46542,-3.775874
229050,-0.459371,0.263894,0.237016,-7.948956,36.926041,-3.555735
236100,-0.449597,0.527788,0.217468,1.344766,33.236309,-1.277767
238808,-0.955393,-0.298102,-0.097738,2.991028,31.235907,11.734403
241809,-0.535118,0.078191,-0.239459,3.550949,29.919855,10.892129
244809,-0.51557,-0.471588,-0.278555,1.885544,29.886356,11.131412
247811,-0.505796,-0.327424,-0.298102,-3.646662,34.332218,12.380465
250813,-0.337198,0.078191,-0.102625,-2.086541,33.336803,11.71526
253814,-0.471588,-0.307876,-0.048869,-1.933401,28.335806,10.777272
256815,-0.43738,-0.227242,-0.053756,-2.67039,28.220951,13.830516
259817,-0.131947,0.811229,-0.068417,-3.215954,26.502903,17.611174
262819,0.026878,0.251676,-0.048869,-1.957329,30.273994,15.515062
265820,0.124617,-0.427606,0.004887,-2.411965,25.459633,8.26481
268823,0.185703,-0.227242,0.161268,-2.120041,28.18745,10.068997
271823,0.112399,-0.298102,0.083078,-1.579263,31.834114,8.451449
274827,0.12706,-0.232129,0.041539,-0.832702,29.005796,8.489736
277833,0.244346,-0.19792,0.031765,-1.871187,26.129623,8.159525
280834,0.161268,0.078191,-0.004887,-2.679961,26.871399,7.556534
283835,0.300546,0.100182,0.026878,0.244068,31.925039,11.040484
286935,0.522901,-0.290772,0.065973,1.028914,30.518061,6.800402
289889,0.415388,-0.024435,0.090408,0.344566,27.675386,5.225925
292854,0.344528,0.053756,-0.608422,0.579063,33.935013,11.49512
