t,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
279097,1.382999,3.271794,0.64263,-7.322038,38.026737,30.924839
282105,1.908343,1.226617,0.471588,-4.412365,46.90411,45.238705
285096,-0.31765,-1.419651,0.141721,-10.284352,24.009584,8.236095
288097,0.845438,0.869872,0.090408,-5.886344,34.270008,10.887343
291097,0.021991,0.808786,0.263894,3.718446,22.731815,-17.257036
294100,-0.320093,-1.202183,0.075747,5.312067,33.729229,2.096112
297111,-0.178373,-0.649961,-0.034208,1.531407,32.819958,13.30888
300111,0.681726,0.586431,-0.102625,-4.498507,34.179077,9.461221
303112,0.789238,-0.456927,0,-7.140182,28.201807,0.564706
306114,0.649961,-0.926072,0.043982,-8.647661,26.804399,-3.713661
309119,0.728151,-0.002443,0.234572,-1.134198,32.518459,-15.730416
312122,0.193033,-0.576657,0.229685,4.689932,27.905098,-19.802999
315122,-0.356745,-0.6353,0.085521,6.312266,28.962725,6.52762
318124,-0.298102,1.138653,-0.175929,-0.397209,41.769112,17.989241
321126,0.569326,1.671327,-0.25412,-2.660819,35.830124,11.48555
324129,0.346971,0.935845,-0.215025,-4.752146,22.669601,-13.552947
327129,-0.078191,-0.537561,0.146608,-4.465007,44.252865,5.292924
330133,-0.036652,0.740369,0.410501,-5.350351,48.933228,12.165111
333135,0,0.117286,0.464258,1.354338,31.944183,-12.227324
336138,-0.427606,-0.701273,0.315206,-0.306281,20.611773,1.440479
339140,-0.777021,0.605978,0.171042,-6.9344,36.385262,14.42872
342142,0.00733,1.742188,0.141721,-6.518049,33.896725,-14.08894
345143,0.080634,-1.571145,0.19792,2.043471,3.455236,-35.289349
348144,-1.734857,-1.644449,0.232129,-3.45045,6.814759,-22.932812
351145,-2.382375,-0.464258,0.376293,-2.507678,11.270194,0.579063
354149,-2.23088,-0.266337,0.549779,0.736989,38.845081,23.885155
357151,-0.630413,-0.080634,0.466701,7.07797,38.739799,32.427532
360152,0.19059,-0.652404,0.12706,12.01197,17.27618,7.393822
363153,-0.510683,0.977384,-0.232129,1.976472,5.666204,-19.960926
366155,-1.563815,1.163087,-0.263894,1.292124,28.326235,12.026326
369156,-1.688432,0.884533,-0.18326,-0.689133,20.070995,6.422336
372159,-1.769066,0.513127,0.18326,-0.751346,-2.545963,-3.579663
375159,-1.864361,0.69883,0.173486,-0.66999,-1.287339,5.053642
378161,-1.769066,1.346347,0.219911,-3.412165,0.665205,19.956142
381164,-1.546711,0.087965,0.241903,-5.699704,6.412765,7.183254
384165,-1.231504,-0.215025,0.237016,-5.733203,8.762517,8.303095
387166,-1.556485,-0.434936,0.31765,-3.455236,8.963513,13.069597
390169,-1.737301,-0.276111,0.434936,1.368695,5.465207,18.281166
393170,-1.639562,-0.813672,0.361632,3.613162,5.168497,23.554947
396171,-1.263269,-0.520457,0.273668,3.713661,6.116055,19.774286
399172,-1.099557,-0.420275,0.092852,1.679762,-0.933201,9.85843
402219,-1.295034,-0.510683,0.034208,0.569492,-0.354138,9.9015
405176,-1.358564,-0.139277,0.002443,-1.167697,-0.301496,12.35175
410625,-1.448972,0.50091,0.017104,0.468993,-1.555335,14.792429
413476,-1.116662,0.249233,-0.017104,-0.07657,-0.89013,21.339191
416476,-0.928515,0.061087,-0.051313,1.445265,5.63749,25.119852
419478,-0.684169,0.087965,-0.024435,-2.689533,2.641676,18.333809
422480,-0.659734,0.263894,0.021991,-4.130012,-1.603191,14.457435
425484,-0.850324,0.175929,0.149051,-1.56012,-3.809374,14.486149
428486,-0.867429,-0.491136,0.241903,3.632305,-0.492921,11.538191
431489,-0.559553,-0.588874,0.188146,3.852444,-2.234896,17.434105
434490,-0.461814,-0.322537,0.105069,0.914058,1.172483,28.230522
