t,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
8286,-0.00733,-0.012217,-0.002443,-0.081356,2.019542,9.724432
11180,0,-0.014661,-0.002443,-0.081356,2.029114,9.719646
14170,-0.002443,-0.009774,-0.002443,-0.081356,2.024328,9.738788
17171,0,-0.009774,-0.002443,-0.090927,2.005185,9.743573
20172,0,-0.012217,0,-0.066999,2.024328,9.729217
23174,0,-0.014661,0,-0.090927,1.995614,9.738788
26176,0,-0.009774,-0.002443,-0.095713,2.014757,9.729217
29179,-0.002443,-0.014661,-0.002443,-0.105284,2.014757,9.724432
32180,0,-0.014661,-0.002443,-0.081356,2.014757,9.729217
35182,0.002443,-0.014661,-0.004887,-0.090927,2.014757,9.762717
38183,0,-0.012217,-0.002443,-0.071785,2.043471,9.757931
41186,0.002443,-0.012217,-0.002443,-0.047856,2.18704,9.9015
44187,0.002443,-0.019548,-0.002443,0.119641,2.732604,10.408778
47190,0.017104,-0.031765,-0.004887,0.378066,3.349952,11.830115
50191,0.043982,-0.048869,-0.017104,1.785046,4.685147,12.820745
53192,0.117286,-0.085521,-0.019548,3.632305,7.144968,15.390635
56193,0.205251,-0.300546,-0.043982,6.508478,13.170096,19.884356
59804,0.332311,0.029322,-0.241903,2.89053,12.15554,20.080568
62680,0.532674,0.581544,-0.271224,0.799203,12.504891,18.027525
65670,0.591318,0.608422,-0.141721,-1.51705,12.844672,14.668003
68671,0.62797,0.068417,-0.124617,-1.134198,14.380864,14.19901
71700,0.76236,-0.009774,-0.156382,-0.301496,16.247265,14.261223
74968,0.83322,-0.036652,-0.180816,-1.660619,17.769102,12.619746
77835,0.862542,-0.342085,-0.161268,-1.028914,18.400806,12.452249
84422,0.933402,-0.498466,-0.144164,-0.588634,19.20001,10.470992
87139,0.977384,-0.564439,-0.202807,2.627319,24.646072,8.781659
90140,0.945619,-0.557109,-0.237016,0.459422,25.440491,7.336394
93143,0.891863,0.166155,-0.32498,0.51685,26.47419,6.623333
96157,0.904081,-0.002443,-0.339641,2.244468,29.139795,10.16471
99148,0.970054,-0.124617,-0.285885,-1.497907,26.177481,5.627919
102149,0.972497,0.212581,-0.249233,-1.473979,24.765715,1.818545
105150,0.872316,-0.13439,-0.144164,0.267996,27.168108,1.852045
108151,0.816116,-0.378736,-0.065973,-0.492921,30.03471,3.024528
